Condition,SH,T_suc,P_suc,T_dis,P_dis,m_dot,W_dot,f,T_amb
OD115F,4,20.6991,69.49584742686599,91.4786,338.00899803161997,63.4434,3.2031300000000003,100,46.11
OD111F,4,20.1685,68.58979667758,88.0255,319.62111360798,63.5243,3.09425,100,43.89
OD107F,4,19.0636,67.689402400076,84.4157,300.5109412491,63.49,2.94904,100,41.67
OD103F,4,18.3304,67.65647883355,80.8455,285.21526139962,63.303,2.85985,100,39.44
OD99F,4,17.78,66.671092441578,78.0937,271.11759326602,63.32,2.72573,100,37.22
A_full,4,16.9821,65.48874480140199,74.8471,254.77619132555998,62.6553,2.6304499999999997,100,35.0
A_full,4,17.0176,65.62014899203,74.8368,255.92489021052,62.74,2.61729,100,35.0
B_full,4,15.0236,62.0398924295,66.3864,212.55860654852,61.87,2.33855,100,27.78
B_full,4,15.1251,63.025278821472,66.0511,213.50570297765998,61.92,2.33627,100,27.78
C_full,4,13.4609,56.334252857121605,67.1303,208.7397629173684,55.4833,2.2500500000000003,100,27.78
A_full,12,20.75,54.97815000675411,82.584,252.9327616881678,53.2533,2.5350300000000003,100,35.0
A_full,12,20.1773,54.61134956733386,81.7414,248.01163123758286,52.79,2.51641,100,35.0
A_full,10,19.6344,57.146029076748,80.7651,252.28154224451538,55.37,2.55646,100,35.0
A_full,10,19.5919,57.244509700854906,80.1475,251.4925369497561,55.2605,2.55426,100,35.0
A_full,8,18.64,59.53001437637265,78.9014,254.84145832034275,57.92,2.57958,100,35.0
A_full,8,18.6311,59.67505211437987,78.0265,251.78841393529083,57.8527,2.56808,100,35.0
A_full,6,17.6416,61.08742960709416,77.0443,254.38458944562004,60.12,2.58513,100,35.0
A_full,6,17.6506,61.913274487307255,76.4619,252.73986149661818,59.6875,2.59713,100,35.0
A_full,4,16.54,62.91316465312902,75.7983,253.41863811049197,61.4378,2.61645,100,35.0
A_full,4,16.5661,63.638353343165114,74.9459,252.87184583820476,61.4776,2.61808,100,35.0
B_full,12,19.0536,54.143022711308554,72.115,207.82602516792295,53.69,2.24282,100,27.78
B_full,12,19.0237,54.28849556252979,72.379,210.09441539035583,53.6227,2.2359400000000003,100,27.78
B_full,10,18.2435,56.55471021889257,70.8456,210.95884030887885,56.6336,2.27637,100,27.78
B_full,10,18.219,56.8504421666893,70.8049,211.48822805260522,56.045,2.26199,100,27.78
B_full,8,17.388,59.44626958644728,69.4457,212.0683790046341,58.65,2.3144400000000003,100,27.78
B_full,8,17.2819,59.6093500190626,69.1654,212.91394901721617,58.6422,2.3024299999999998,100,27.78
B_full,6,16.0991,60.72628563945618,67.5637,213.4070773264407,60.66,2.3345599999999997,100,27.78
B_full,6,16.1529,61.05465107830452,67.3839,213.37371864669905,60.6348,2.33431,100,27.78
B_full,4,15.0236,62.0398924295,66.3864,212.55860655909848,61.87,2.33855,100,27.78
B_full,4,15.1251,63.025278821472,66.0511,213.5057029882856,61.92,2.33627,100,27.78
C_full,12,17.6191,50.018584555597286,73.1289,206.32053344740802,49.2303,2.15643,100,27.78
C_full,10,16.6362,51.75932748715992,71.4618,206.47862458183587,51.6031,2.17932,100,27.78
C_full,8,15.5015,53.92706151941581,69.9515,207.85213196076424,53.3025,2.20987,100,27.78
C_full,6,14.3473,54.99744002590908,68.6377,208.82823593755282,54.534,2.23006,100,27.78
C_full,4,13.4609,56.334252857121605,67.1303,208.7397629173684,55.4833,2.2500500000000003,100,27.78
C_full,2,12.7501,56.71903797605476,66.2824,210.06250708799425,56.41,2.2560700000000002,100,27.78
