Run,f,P_suc,T_suc,P_inj,T_inj,P_dis,m_dot_suc,m_dot_inj,W_dot,T_dis
1,40.0,460,267.15,902,283.85,2410,17.31,4.89,1616.96,367.14
2,40.0,680,278.05,1204,294.82,2410,26.06,5.06,1623.09,354.09
3,40.0,1080,293.15,1654,307.39,2410,43.29,2.81,1540.3,343.19
4,40.0,640,276.45,1262,296.46,3050,24.06,7.3,2044.25,370.14
5,40.0,930,288.15,1636,306.78,3050,36.4,7.02,2012.62,360.55
6,40.0,1250,298.15,1993,315.26,3050,50.52,5.62,1962.42,353.8
7,40.0,460,267.15,1039,288.9,3280,16.88,7.55,2178.4,389.99
8,40.0,750,281.15,1533,304.26,3580,28.52,9.98,2414.23,376.33
9,40.0,1080,293.15,1977,314.84,3740,42.31,10.48,2489.33,369.77
10,48.33,460,267.15,768,278.25,1560,21.54,2.89,1349.73,341.18
11,48.33,460,267.15,897,283.37,2410,21.15,5.97,1928.25,365.3
12,48.33,680,278.15,1185,294.07,2410,32.0,6.14,1926.36,353.12
13,48.33,640,276.45,1246,296.02,3050,29.9,8.83,2406.86,370.05
14,48.33,640,276.45,1255,296.27,3050,29.69,9.0,2420.91,369.73
15,48.33,930,288.05,1609,306.16,3060,44.87,8.41,2400.52,359.51
16,48.33,460,267.15,1031,289.14,3270,20.43,8.84,2553.93,386.92
17,48.33,380,262.15,875,282.37,3420,16.68,7.55,2626.13,403.41
18,48.33,460,266.95,1136,292.72,3820,19.82,11.04,3041.77,399.94
19,48.33,680,278.15,1472,302.87,3830,31.29,12.84,3013.71,383.62
20,48.33,570,273.15,1486,302.82,4450,25.5,16.07,3569.8,401.13
21,48.33,800,283.15,1811,311.23,4450,36.65,17.54,3615.69,389.47
22,48.33,1150,295.05,2259,320.26,4450,55.66,18.94,3623.52,378.48
23,75.0,330,258.15,607,269.25,1560,23.66,4.48,2131.79,356.88
24,75.0,460,267.15,785,278.93,1560,34.3,4.43,2099.59,341.13
25,75.0,330,258.05,734,276.35,2410,23.31,7.88,2951.67,383.56
26,75.0,460,267.15,927,285.23,2410,33.01,8.52,3007.61,366.23
27,75.0,680,278.15,1201,294.64,2410,50.93,8.78,2995.44,352.92
28,75.0,330,258.15,825,280.2,3050,22.7,10.07,3595.85,400.75
29,75.0,640,276.45,1266,296.78,3050,47.33,12.14,3696.47,369.09
30,75.0,640,276.45,1289,297.21,3050,47.37,12.67,3697.17,369.23
31,75.0,930,288.15,1632,306.59,3060,70.69,12.19,3722.6,358.49
32,75.0,460,267.15,1094,291.34,3270,32.7,12.82,3932.54,387.63
33,75.0,430,265.15,1149,293.41,3670,29.12,14.56,4424.04,401.02
34,75.0,460,266.95,1223,295.87,3820,32.26,16.08,4519.03,399.27
35,75.0,680,278.15,1546,304.38,3820,49.73,18.49,4581.97,381.89
36,75.0,1250,298.15,2219,319.54,3820,97.29,18.95,4581.49,364.88
37,75.0,570,273.15,1577,305.11,4450,40.69,22.29,5293.08,399.86
38,75.0,800,283.15,1898,313.05,4450,59.01,25.15,5354.35,387.14
39,75.0,1150,295.15,2325,321.33,4450,88.02,27.03,5369.99,376.22
40,100.0,770,282.15,1119,292.2,1550,79.55,1.59,2902.45,329.69
41,100.0,460,267.15,799,279.69,1560,46.19,5.58,2869.57,342.49
42,100.0,330,258.15,629,272.0,1610,31.55,5.58,2921.25,359.0
43,100.0,330,258.15,783,279.45,2410,31.33,9.75,3902.78,384.18
44,100.0,460,267.05,976,287.02,2410,45.23,10.84,4018.53,366.85
45,100.0,680,278.15,1236,295.84,2410,68.4,10.87,4066.06,353.69
46,100.0,330,258.15,912,284.7,3050,30.63,12.64,4758.73,402.82
47,100.0,640,276.45,1368,299.73,3050,63.46,15.94,5001.43,369.8
48,100.0,460,267.15,1178,294.67,3270,44.58,15.81,5161.88,387.86
49,100.0,930,288.15,1770,310.76,3400,94.07,17.63,5518.62,365.71
50,100.0,680,278.15,1638,306.73,3820,66.95,22.17,6081.44,382.47
51,100.0,500,269.45,1487,303.45,4080,47.65,21.95,6351.82,401.41
52,100.0,800,283.15,1879,312.56,4080,79.49,25.59,6511.18,382.14
53,100.0,570,273.15,1701,308.55,4450,55.16,26.39,6926.69,402.91
54,100.0,930,288.15,2181,319.04,4450,92.09,31.2,7130.81,383.87
55,116.67,330,258.15,635,271.58,1570,37.13,6.28,3359.84,356.91
56,116.67,330,258.15,814,280.77,2410,36.44,10.76,4545.06,384.73
57,116.67,460,267.15,1002,287.69,2410,52.82,12.1,4720.8,367.86
58,116.67,680,278.15,1250,296.23,2410,79.41,12.19,4833.39,353.7
59,116.67,330,258.15,955,285.41,3050,35.63,13.97,5516.72,403.38
60,116.67,640,276.45,1404,300.86,3050,74.1,17.71,5858.55,369.74
61,116.67,460,267.15,1219,295.75,3270,51.92,17.28,6006.19,388.6
62,116.67,460,266.95,1375,300.31,3820,51.06,21.01,6884.2,402.97
63,116.67,680,278.15,1691,308.02,3830,77.71,24.28,7119.16,384.4
